chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr19	48812505	48813005	chr19:48812505-48813005:.	-0.0005332664	.	chr19:48812505-48813005:.	chr19	49314320	49314321	-	-0.022855811061648388	0.02178927826164839	BCAT2	ENSG00000105552	NA	NA	False	0.9881652645227548	0.988165264522755	0.9999999778999391	1	1	TRUE	NA
chr19	48824385	48824925	chr19:48824385-48824925:.	-0.00549756	.	chr19:48824385-48824925:.	chr19	49314320	49314321	-	-0.023693286590847157	0.012698166590847158	BCAT2	ENSG00000105552	NA	NA	False	0.5611818127279334	0.875443627855576	1.0	1	1	TRUE	NA
chr19	48824985	48825585	chr19:48824985-48825585:.	0.0019364470000000002	.	chr19:48824985-48825585:.	chr19	49314320	49314321	-	-0.009037029379023351	0.012909923379023353	BCAT2	ENSG00000105552	NA	NA	False	0.7598965487560658	0.9190108696517859	1.0	1	1	TRUE	NA
chr19	48828425	48829005	chr19:48828425-48829005:.	-0.0028193368	.	chr19:48828425-48829005:.	chr19	49314320	49314321	-	-0.022515669890914955	0.016876996290914957	BCAT2	ENSG00000105552	NA	NA	False	0.8070068165958155	0.932398579382702	0.9999999999999359	1	1	TRUE	NA
chr19	48829105	48829625	chr19:48829105-48829625:.	0.0101176145	.	chr19:48829105-48829625:.	chr19	49314320	49314321	-	-0.0032761091857924085	0.02351133818579241	BCAT2	ENSG00000105552	NA	NA	False	0.21779292393586885	0.839795383645831	1.0	1	1	TRUE	NA
chr19	48835885	48836625	chr19:48835885-48836625:.	-0.0061757146	.	chr19:48835885-48836625:.	chr19	49314320	49314321	-	-0.020185768612672385	0.007834339412672385	BCAT2	ENSG00000105552	NA	NA	False	0.457623160746413	0.8565818725543491	1.0	1	1	TRUE	NA
chr19	48837085	48837585	chr19:48837085-48837585:.	0.010913512	.	chr19:48837085-48837585:.	chr19	49314320	49314321	-	-0.0015072709163831688	0.02333429491638317	BCAT2	ENSG00000105552	NA	NA	False	0.14971592939740244	0.839795383645831	1.0	1	1	TRUE	NA
chr19	48842585	48843105	chr19:48842585-48843105:.	0.013672421399999999	.	chr19:48842585-48843105:.	chr19	49314320	49314321	-	-0.0017356050707724776	0.029080447870772477	BCAT2	ENSG00000105552	NA	NA	False	0.1752944919799781	0.839795383645831	1.0	1	1	TRUE	NA
chr19	48848065	48848565	chr19:48848065-48848565:.	-0.0014551695999999999	.	chr19:48848065-48848565:.	chr19	49314320	49314321	-	-0.019278519204322792	0.01636818000432279	BCAT2	ENSG00000105552	NA	NA	False	0.9067832585322064	0.9623006008913209	1.0	1	1	TRUE	NA
chr19	48854445	48854985	chr19:48854445-48854985:.	0.0118808514	.	chr19:48854445-48854985:.	chr19	49314320	49314321	-	-0.0005171622389930387	0.024278865038993038	BCAT2	ENSG00000105552	NA	NA	False	0.17622550797571254	0.839795383645831	1.0	1	1	TRUE	NA
