chrom	chromStart	chromEnd	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr2	46464581	46464767	MSH2/MSH6|chr2:46464581-46464767:.	3.046	.	chr2:46464581-46464767:.	NA	NA	NA	+	NA	NA	MSH2/MSH6	ENSG00000095002.15/ENSG00000116062.18	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr2	46499814	46500475	MSH2/MSH6|chr2:46499814-46500475:.	2.69	.	chr2:46499814-46500475:.	NA	NA	NA	+	NA	NA	MSH2/MSH6	ENSG00000095002.15/ENSG00000116062.18	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr2	46616497	46617342	MSH2/MSH6|chr2:46616497-46617342:.	3.155	.	chr2:46616497-46617342:.	NA	NA	NA	+	NA	NA	MSH2/MSH6	ENSG00000095002.15/ENSG00000116062.18	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr2	47368918	47370143	MSH2/MSH6|chr2:47368918-47370143:.	3.205	.	chr2:47368918-47370143:.	NA	NA	NA	+	NA	NA	MSH2/MSH6	ENSG00000095002.15/ENSG00000116062.18	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr2	46541698	46544265	MSH2/MSH6|chr2:46541698-46544265:.	3.024	.	chr2:46541698-46544265:.	NA	NA	NA	+	NA	NA	MSH2/MSH6	ENSG00000095002.15/ENSG00000116062.18	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr2	47191521	47193363	MSH2/MSH6|chr2:47191521-47193363:.	3.211	.	chr2:47191521-47193363:.	NA	NA	NA	+	NA	NA	MSH2/MSH6	ENSG00000095002.15/ENSG00000116062.18	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr2	47034146	47034911	MSH2/MSH6|chr2:47034146-47034911:.	3.716	.	chr2:47034146-47034911:.	NA	NA	NA	+	NA	NA	MSH2/MSH6	ENSG00000095002.15/ENSG00000116062.18	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr2	48314106	48315728	MSH2/MSH6|chr2:48314106-48315728:.	3.071	.	chr2:48314106-48315728:.	NA	NA	NA	+	NA	NA	MSH2/MSH6	ENSG00000095002.15/ENSG00000116062.18	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr2	48196058	48197362	MSH2/MSH6|chr2:48196058-48197362:.	2.766	.	chr2:48196058-48197362:.	NA	NA	NA	+	NA	NA	MSH2/MSH6	ENSG00000095002.15/ENSG00000116062.18	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr2	46940390	46941878	MSH2/MSH6|chr2:46940390-46941878:.	3.143	.	chr2:46940390-46941878:.	NA	NA	NA	+	NA	NA	MSH2/MSH6	ENSG00000095002.15/ENSG00000116062.18	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr2	46698689	46699696	MSH2/MSH6|chr2:46698689-46699696:.	2.77	.	chr2:46698689-46699696:.	NA	NA	NA	+	NA	NA	MSH2/MSH6	ENSG00000095002.15/ENSG00000116062.18	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
